"","X","Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference..cm.","Depth..cm.","Diameter..cm.","Height..cm.","Length..cm.","Weight..kg.","Width..cm.","Seat.Height..cm.","Duration..sec..","X0","artist_age","artist_dead","artist_age_acq"
"10335","10334","Plate (folio 8) from Salute","Grace Hartigan","2520","American, 1922–2008","American",1922,"2008.0","Female","1960.0","Screenprint from an illustrated book with five screenprints","composition (irreg.): 17 3/16 × 14"" (43.7 × 35.5 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","128.1964.3","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11413","http://www.moma.org/collection/works/11413","http://www.moma.org/media/W1siZiIsIjE4OTY0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7e24ee39b34b15e2",NA,NA,NA,43.7,NA,NA,35.5,NA,"","American",38,0,44
"10336","10335","Plate (folio 12) from Salute","Grace Hartigan","2520","American, 1922–2008","American",1922,"2008.0","Female","1960.0","Screenprint from an illustrated book with five screenprints","composition: 17 1/4 × 14"" (43.8 × 35.6 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","128.1964.4","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11414","http://www.moma.org/collection/works/11414","http://www.moma.org/media/W1siZiIsIjE4OTY0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9135989c95b42b2c",NA,NA,NA,43.8,NA,NA,35.6,NA,"","American",38,0,44
"10337","10336","Plate (folio 15) from Salute","Grace Hartigan","2520","American, 1922–2008","American",1922,"2008.0","Female","1960.0","Screenprint from an illustrated book with five screenprints","composition (irreg.): 17 1/4 × 13 7/8"" (43.8 × 35.3 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","128.1964.5","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11415","http://www.moma.org/collection/works/11415","http://www.moma.org/media/W1siZiIsIjE4OTY0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=baaa21e5233707bb",NA,NA,NA,43.8,NA,NA,35.3,NA,"","American",38,0,44
"10483","10482","Cover from The Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1960.0","One from an illustrated book with five screenprints (including cover)","composition (irreg.): 9 5/8 x 13 3/4"" (24.5 x 35 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","140.1964.1","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11562","http://www.moma.org/collection/works/11562","http://www.moma.org/media/W1siZiIsIjE4OTY3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=398e15f5de3a92e7",NA,NA,NA,24.5,NA,NA,35,NA,"","American",35,0,28
"10484","10483","The Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1960.0","Illustrated book with five screenprints (including cover)","composition (see child records): dimensions vary; page (each): 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","140.1964.1-5","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11563","http://www.moma.org/collection/works/11563","http://www.moma.org/media/W1siZiIsIjE4OTY3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c97e8015647b7ba8",NA,NA,NA,44,NA,NA,35.8,NA,"","American",35,0,28
"10485","10484","Title page from The Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1960.0","One from an illustrated book with five screenprints (including cover)","composition (irreg.): 9 1/4 × 13 11/16"" (23.5 × 34.8 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","140.1964.2","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11564","http://www.moma.org/collection/works/11564","http://www.moma.org/media/W1siZiIsIjE4OTY3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9d99453d8cf098fa",NA,NA,NA,23.5,NA,NA,34.8,NA,"","American",35,0,28
"10486","10485","Plate (folio 7) from The Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1960.0","One from an illustrated book with five screenprints (including cover)","composition (irreg.): 17 1/4 × 13 3/4"" (43.8 × 35 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","140.1964.3","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11565","http://www.moma.org/collection/works/11565","http://www.moma.org/media/W1siZiIsIjE4OTY3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a0f562ccd0505614",NA,NA,NA,43.8,NA,NA,35,NA,"","American",35,0,28
"10487","10486","Plate (folio 11) from The Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1960.0","One from an illustrated book with five screenprints (including cover)","composition (irreg.): 17 3/8 × 13 13/16"" (44.1 × 35.1 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","140.1964.4","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11566","http://www.moma.org/collection/works/11566","http://www.moma.org/media/W1siZiIsIjE4OTY4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=597ad7ebfa35ce27",NA,NA,NA,44.1,NA,NA,35.1,NA,"","American",35,0,28
"10488","10487","Plate (folio 16) from The Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1960.0","One from an illustrated book with five screenprints (including cover)","composition (irreg.): 17 1/4 × 13 15/16"" (43.8 × 35.4 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","140.1964.5","Illustrated Book","Prints & Illustrated Books","1964-02-11","Y","11567","http://www.moma.org/collection/works/11567","http://www.moma.org/media/W1siZiIsIjE5MjE1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f22e01c6b251be2e",NA,NA,NA,43.8,NA,NA,35.4,NA,"","American",35,0,28
"10892","10891","Plate (folio 3 verso) from Smoke","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1988.0","Aquatint from an illustrated book with 16 aquatints (one with etching)","plate: 6 × 7 13/16"" (15.2 × 19.8 cm); page: 14 × 9 1/16"" (35.5 × 23 cm)","Johanna and Leslie J. Garfield Fund","150.1989.1","Illustrated Book","Prints & Illustrated Books","1989-05-30","Y","11978","http://www.moma.org/collection/works/11978","",NA,NA,NA,15.2,NA,NA,19.8,NA,"","American",63,0,3
"10893","10892","Smoke","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1988.0","Illustrated book with 16 aquatints (one with etching)","composition (see child records): dimensions vary; page (each): 14 × 9 1/16"" (35.5 × 23 cm)","Johanna and Leslie J. Garfield Fund","150.1989.1-16","Illustrated Book","Prints & Illustrated Books","1989-05-30","Y","11979","http://www.moma.org/collection/works/11979","",NA,NA,NA,35.5,NA,NA,23,NA,"","American",63,0,3
"10894","10893","Double page in-text plate (folios 21 verso and 22) from Smoke","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1988.0","Aquatint from an illustrated book with 16 aquatints (one with etching)","plate (irreg.): 5 7/8 × 14 7/8"" (15 × 37.8 cm); page (each): 14 × 9 1/16"" (35.5 × 23 cm)","Johanna and Leslie J. Garfield Fund","150.1989.10","Illustrated Book","Prints & Illustrated Books","1989-05-30","Y","11980","http://www.moma.org/collection/works/11980","",NA,NA,NA,15,NA,NA,37.8,NA,"","American",63,0,3
"10895","10894","Plate (folio 23 verso) from Smoke","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1988.0","Aquatint from an illustrated book with 16 aquatints (one with etching)","plate: 7 3/16 × 7 15/16"" (18.3 × 20.1 cm); page: 14 × 9 1/16"" (35.5 × 23 cm)","Johanna and Leslie J. Garfield Fund","150.1989.11","Illustrated Book","Prints & Illustrated Books","1989-05-30","Y","11981","http://www.moma.org/collection/works/11981","",NA,NA,NA,18.3,NA,NA,20.1,NA,"","American",63,0,3
"10896","10895","Plate (folio 25 verso) from Smoke","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1988.0","Aquatint from an illustrated book with 16 aquatints (one with etching)","plate: 7 3/16 × 7 7/8"" (18.2 × 20 cm); page: 14 × 9 1/16"" (35.5 × 23 cm)","Johanna and Leslie J. Garfield Fund","150.1989.12","Illustrated Book","Prints & Illustrated Books","1989-05-30","Y","11982","http://www.moma.org/collection/works/11982","",NA,NA,NA,18.2,NA,NA,20,NA,"","American",63,0,3
"10897","10896","Plate (folio 27 verso) from Smoke","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1988.0","Aquatint from an illustrated book with 16 aquatints (one with etching)","plate: 7 3/16 × 7 7/8"" (18.3 × 20 cm); page: 14 × 9 1/16"" (35.5 × 23 cm)","Johanna and Leslie J. Garfield Fund","150.1989.13","Illustrated Book","Prints & Illustrated Books","1989-05-30","Y","11983","http://www.moma.org/collection/works/11983","",NA,NA,NA,18.3,NA,NA,20,NA,"","American",63,0,3
"10898","10897","Plate (folio 29 verso) from Smoke","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1988.0","Aquatint from an illustrated book with 16 aquatints (one with etching)","plate: 7 3/16 × 7 7/8"" (18.3 × 20 cm); page: 14 × 9 1/16"" (35.5 × 23 cm)","Johanna and Leslie J. Garfield Fund","150.1989.14","Illustrated Book","Prints & Illustrated Books","1989-05-30","Y","11984","http://www.moma.org/collection/works/11984","",NA,NA,NA,18.3,NA,NA,20,NA,"","American",63,0,3
